,Statuses_Count,Followers_Count,Friends_Count,Label,Decision
1091,8112,101,41,MenInTech,Tier 2
1293,2456,178,207,MenInTech,Tier 2
1272,1885,555,80,MenInTech,Tier 2
1566,7104,70,514,MenInTech,Tier 2
1363,6099,463,535,MenInTech,Tier 2
1713,1440,218,334,MenInTech,Tier 2
1402,2269,250,30,MenInTech,Tier 2
1987,1930,95,79,MenInTech,Tier 2
1980,7234,525,335,MenInTech,Tier 2
1027,5703,502,595,MenInTech,Tier 2
1197,2960,427,489,MenInTech,Tier 2
1768,1981,158,97,MenInTech,Tier 2
1300,1535,263,315,MenInTech,Tier 2
1736,2088,91,135,MenInTech,Tier 2
1101,1529,86,501,MenInTech,Tier 2
1576,4480,110,55,MenInTech,Tier 2
1060,1817,439,602,MenInTech,Tier 2
1767,1981,158,97,MenInTech,Tier 2
1061,3919,114,662,MenInTech,Tier 2
1909,4296,28,399,MenInTech,Tier 2
1321,3248,198,36,MenInTech,Tier 2
1599,2269,250,30,MenInTech,Tier 2
1012,5467,342,265,MenInTech,Tier 2
1190,5009,402,53,MenInTech,Tier 2
1208,5003,174,291,MenInTech,Tier 2
1494,2414,226,727,MenInTech,Tier 2
1062,3662,83,744,MenInTech,Tier 2
1167,1183,117,511,MenInTech,Tier 2
1302,4034,205,831,MenInTech,Tier 2
1842,2908,498,438,MenInTech,Tier 2
1691,3373,238,133,MenInTech,Tier 2
1539,2526,64,597,MenInTech,Tier 2
1475,8701,256,152,MenInTech,Tier 2
1074,5559,451,636,MenInTech,Tier 2
1889,4872,178,210,MenInTech,Tier 2
1141,3763,107,824,MenInTech,Tier 2
1291,2016,104,588,MenInTech,Tier 2
1605,1448,108,713,MenInTech,Tier 2
1670,2382,81,285,MenInTech,Tier 2
1206,4742,374,531,MenInTech,Tier 2
1728,3870,272,634,MenInTech,Tier 2
1400,8177,414,599,MenInTech,Tier 2
1053,5116,54,227,MenInTech,Tier 2
1232,4267,314,997,MenInTech,Tier 2
1446,1526,152,221,MenInTech,Tier 2
1184,4212,125,393,MenInTech,Tier 2
1966,1371,214,90,MenInTech,Tier 2
1200,2627,317,56,MenInTech,Tier 2
1491,2846,210,385,MenInTech,Tier 2
1717,1197,92,433,MenInTech,Tier 2
1033,2612,294,309,MenInTech,Tier 2
1490,2846,210,385,MenInTech,Tier 2
1529,1982,258,595,MenInTech,Tier 2
1289,6471,406,369,MenInTech,Tier 2
1336,2241,204,783,MenInTech,Tier 2
1260,6095,107,797,MenInTech,Tier 2
1078,4400,91,113,MenInTech,Tier 2
1507,1668,301,22,MenInTech,Tier 2
1255,7040,399,741,MenInTech,Tier 2
1931,2393,86,57,MenInTech,Tier 2
1044,4402,67,233,MenInTech,Tier 2
1962,1844,340,72,MenInTech,Tier 2
1297,1728,217,681,MenInTech,Tier 2
1735,5977,447,505,MenInTech,Tier 2
1525,4548,411,254,MenInTech,Tier 2
1884,1296,45,321,MenInTech,Tier 2
1808,2980,154,139,MenInTech,Tier 2
1046,2774,266,718,MenInTech,Tier 2
1063,3662,83,744,MenInTech,Tier 2
1934,1638,481,453,MenInTech,Tier 2
1025,1557,144,972,MenInTech,Tier 2
1087,6057,105,111,MenInTech,Tier 2
1287,2279,106,198,MenInTech,Tier 2
1537,1815,151,521,MenInTech,Tier 2
1743,2557,30,441,MenInTech,Tier 2
1038,3310,314,837,MenInTech,Tier 2
1603,3193,91,951,MenInTech,Tier 2
1972,2632,119,84,MenInTech,Tier 2
1760,1552,506,766,MenInTech,Tier 2
1369,2049,292,328,MenInTech,Tier 2
35,1392,61,395,WomanInTech,Tier 4
37,1195,78,97,WomanInTech,Tier 4
45,2269,250,30,WomanInTech,Tier 4
53,1397,24,78,WomanInTech,Tier 4
56,1743,137,124,WomanInTech,Tier 4
69,2589,47,33,WomanInTech,Tier 4
70,1640,63,61,WomanInTech,Tier 4
82,1643,410,46,WomanInTech,Tier 4
86,2269,250,30,WomanInTech,Tier 4
92,4086,200,56,WomanInTech,Tier 4
122,1458,39,501,WomanInTech,Tier 4
132,2214,21,31,WomanInTech,Tier 4
135,1209,10,65,WomanInTech,Tier 4
208,2064,19,83,WomanInTech,Tier 4
209,1027,12,127,WomanInTech,Tier 4
213,1027,12,127,WomanInTech,Tier 4
256,1039,9,62,WomanInTech,Tier 4
262,2047,28,43,WomanInTech,Tier 4
302,1171,56,138,WomanInTech,Tier 4
308,1564,39,242,WomanInTech,Tier 4
327,8014,41,117,WomanInTech,Tier 4
336,1582,5,250,WomanInTech,Tier 4
343,3123,12,28,WomanInTech,Tier 4
346,1452,56,136,WomanInTech,Tier 4
348,7204,86,94,WomanInTech,Tier 4
351,1114,14,12,WomanInTech,Tier 4
437,4262,54,298,WomanInTech,Tier 4
459,2298,45,82,WomanInTech,Tier 4
466,2840,432,11,WomanInTech,Tier 4
