Unnamed: 0,LABEL,Headline
0,bitcoin,rose friday adding previous close
1,bitcoin,investor dipping toe water bumper month
2,bitcoin,surge rally intact analyst say could awaken dormant long term bull benzinga
5,bitcoin,looking steady week
6,bitcoin,salvador became first country world recognize legal tender year approved wednesday would regulate issuance digital asset state private entity
7,bitcoin,charge dragging market floor electrifying bonk meme coin
8,bitcoin,skybridge capital betting sustained turnaround market firm founder anthony scaramucci said admitting view overly bullish
9,bitcoin,silvergate stock surged monday weekend
10,bitcoin,period highly negative sentiment seen suspiciously solid floor finance professor john griffin told fortune
11,bitcoin,bond issuance originally planned early salvador seek raise billion called volcano bond
12,bitcoin,invest bull case million base case
13,bitcoin,investor piling back market jumping year date
14,bitcoin,asset manager grayscale investment gearing prolonged legal fight security exchange commission create spot exchange traded fund company chief executive officer said
15,bitcoin,bloodbath tesla billion backfire elon musk carmaker dumped least position
16,bitcoin,giant binance processed almost million bitzlato digital currency exchange whose founder arrested authority last week allegedly running money laundering engine blockchain data seen reuters show
17,bitcoin,surge continues first time since collapse early november coindesk report largest market capitalization started week near mark hovering
18,bitcoin,exchanging ether example taxable event eye even receive dollar
19,bitcoin,investor made large shift away short bet last week token price climbed january
20,bitcoin,character simpson episode say behold wonder china mine forced labor camp child make smartphones
21,bitcoin,interview insider invesco brian levitt break money dollar look weaken could climb
22,bitcoin,taleb said stock market expensive relative current interest rate championed warren buffett investing style trashed
23,bitcoin,jpmorgan survey institutional trader found plan trading digital asset year
24,bitcoin,york time covered research authored john griffin finance professor university texas hong kong based bitfinex largest least regulated exchange industry
26,bitcoin,despite volatile nature millionaire still want ahead curve
27,bitcoin,investor losing faith fashionable technobabble turning gold rock age nobel prize winner paul krugman suggested
28,bitcoin,accepted candy gift capitol say senator cruz another getting resolution passed
29,bitcoin,bridgewater associate founder also told cnbc see china yuan digital renminbi making gain
30,bitcoin,hacker group associated north korea lazarus group responsible theft last june million firm harmony horizon bridge federal bureau investigation said monday
31,bitcoin,move higher come price enjoy sustained rally industry market reclaiming trillion weekend
32,bitcoin,company digital currency group center industry latest meltdown company genesis froze customer withdrawal november
33,bitcoin,eye meeting next week central bank expected announce smaller increase benchmark rate
34,bitcoin,mentioned lastpass story closing couple week detail still scarce hope lastpass would release transparent information happened
35,bitcoin,reporting transaction tax important ever expert right
36,bitcoin,bucked wider downward trend meme token surged tuesday amid report elon musk plan twitter payment
37,bitcoin,faltering digital asset firm filed chapter month enduring double whammy exposure tothree arrow capital
38,bitcoin,threat impending regulation dominated headline recent month lost investor protection stand federal showdown
39,bitcoin,jamie dimon previously compared token rock called industry complete sideshow collapse
